user_id,subscription_tier,days_since_last_login,avg_session_length_mins,support_tickets_opened,churned
1001,Basic,9,22.9,1,0
1002,Enterprise,14,19.9,1,0
1003,Pro,6,17.3,1,0
1004,Basic,12,16.2,2,0
1005,Basic,14,18.5,1,0
1006,Basic,13,19.1,2,0
1007,Basic,12,21.4,0,0
1008,Pro,8,20.7,0,0
1009,Pro,11,32.6,0,0
1010,Pro,11,31.7,1,0
1011,Basic,7,9.7,2,0
1012,Enterprise,9,19.1,4,0
1013,Pro,7,37.5,0,0
1014,Basic,11,27.9,1,1
1015,Basic,11,28.3,1,1
1016,Basic,10,27.4,2,1
1017,Basic,6,22.4,1,0
1018,Basic,14,24.6,4,0
1019,Basic,9,21.0,0,0
1020,Basic,11,33.6,2,1
1021,Pro,9,21.1,1,0
1022,Basic,13,23.9,1,1
1023,Basic,15,32.4,0,0
1024,Basic,5,21.7,1,0
1025,Basic,8,24.3,0,0
1026,Pro,10,21.4,1,1
1027,Basic,10,24.1,1,0
1028,Basic,15,21.8,1,0
1029,Basic,13,19.6,3,1
1030,Basic,15,17.9,1,0
1031,Pro,9,23.3,1,0
1032,Basic,19,35.2,1,0
1033,Basic,7,31.2,2,0
1034,Enterprise,10,9.2,0,0
1035,Enterprise,6,20.7,3,0
1036,Pro,9,18.6,1,0
1037,Basic,11,9.4,0,1
1038,Basic,7,27.8,0,0
1039,Pro,7,24.0,1,0
1040,Basic,10,45.2,0,1
1041,Basic,10,21.7,2,0
1042,Basic,5,17.2,1,1
1043,Basic,11,16.3,0,0
1044,Enterprise,10,20.5,0,0
1045,Basic,16,30.9,1,0
1046,Pro,5,32.0,0,0
1047,Basic,11,54.3,2,1
1048,Basic,8,12.9,1,0
1049,Basic,10,25.9,1,0
1050,Basic,8,18.2,1,0
1051,Enterprise,14,28.5,1,0
1052,Pro,9,38.8,1,0
1053,Enterprise,7,33.6,5,0
1054,Pro,12,12.9,0,1
1055,Basic,9,31.8,1,0
1056,Enterprise,11,3.9,2,0
1057,Basic,16,1.2,1,1
1058,Basic,18,22.5,0,1
1059,Basic,11,31.1,2,0
1060,Basic,11,28.5,1,0
1061,Basic,8,44.1,1,0
1062,Basic,9,26.1,1,0
1063,Pro,7,23.9,0,0
1064,Basic,9,36.6,0,0
1065,Basic,15,21.3,2,1
1066,Basic,8,28.9,0,0
1067,Basic,12,29.5,3,1
1068,Pro,8,15.3,2,0
1069,Basic,5,28.9,4,1
1070,Enterprise,14,46.9,1,0
1071,Pro,11,36.4,3,1
1072,Basic,13,16.6,0,0
1073,Basic,8,48.4,2,0
1074,Pro,14,31.9,1,1
1075,Pro,14,29.2,1,0
1076,Pro,13,24.0,0,0
1077,Pro,13,31.8,1,0
1078,Basic,5,26.1,0,0
1079,Basic,9,25.2,0,0
1080,Basic,12,23.7,2,0
1081,Pro,13,34.7,0,0
1082,Pro,11,33.6,0,1
1083,Basic,12,23.5,3,0
1084,Basic,7,9.8,2,1
1085,Basic,9,25.4,1,0
1086,Basic,9,17.8,4,0
1087,Pro,9,20.3,1,0
1088,Pro,10,23.8,1,0
1089,Pro,12,14.4,2,0
1090,Basic,11,8.9,2,0
1091,Basic,10,27.9,1,0
1092,Pro,10,25.3,1,0
1093,Pro,12,24.9,3,0
1094,Basic,13,30.1,3,0
1095,Pro,9,18.4,1,0
1096,Basic,12,28.3,1,0
1097,Basic,8,38.4,1,0
1098,Basic,12,22.5,2,1
1099,Basic,10,44.0,0,0
1100,Basic,13,25.5,0,1
1101,Basic,13,16.5,1,0
1102,Pro,12,33.5,1,0
1103,Basic,9,23.9,0,0
1104,Basic,7,35.5,2,0
1105,Enterprise,13,29.1,2,0
1106,Basic,11,21.7,1,0
1107,Basic,13,40.2,1,1
1108,Pro,7,20.0,2,0
1109,Basic,12,3.3,2,0
